Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDU14,OUT018,2382.5653
FDB33,OUT010,301.44094999999993
FDP27,OUT046,2852.1873299999997
FDO38,OUT010,238.55614
FDE28,OUT027,5029.41991
FDO27,OUT035,2225.7361100000003
DRL23,OUT027,3366.2848
FDS28,OUT046,2051.3298
FDX24,OUT013,1692.6633399999998
FDZ02,OUT035,2406.43423
FDL46,OUT045,1847.4618400000004
FDS60,OUT027,2528.27563
NCO06,OUT017,1185.49019
FDO16,OUT035,2052.82785
FDC60,OUT049,2081.98989
FDA48,OUT018,1896.56459
FDZ36,OUT027,4102.3267000000005
FDK27,OUT045,2283.9270300000003
FDW23,OUT018,1698.0896099999998
FDM14,OUT018,1724.422
FDM14,OUT013,2546.8514499999997
FDW60,OUT018,2080.39197
FDE21,OUT013,1883.14872
NCM42,OUT035,2268.51376
FDY59,OUT010,199.14078
DRI49,OUT049,2393.68416
FDT28,OUT019,283.63079999999997
FDQ22,OUT018,1642.8282099999997
FDR60,OUT049,1270.2798199999997
FDC50,OUT019,403.67454
FDV24,OUT013,2242.0815
DRF48,OUT010,447.48418000000004
FDQ47,OUT046,1807.21423
DRN36,OUT049,1576.98059
NCY06,OUT035,2779.2822300000003
FDE52,OUT035,2548.48266
NCB54,OUT045,2303.9343200000003
NCF31,OUT035,2787.4715700000006
FDJ08,OUT027,4795.291340000001
NCC07,OUT017,1917.6371599999998
NCD19,OUT027,1754.6826100000003
FDL46,OUT049,2176.60007
FDM20,OUT045,3199.53519
NCI06,OUT010,421.75100999999995
DRM11,OUT035,2452.30785
NCH07,OUT018,1995.7022100000002
FDS23,OUT013,2207.1935799999997
FDO49,OUT018,759.81096
FDS35,OUT049,1852.9879799999999
DRK39,OUT045,1524.84845
DRI39,OUT049,1675.58557
FDV04,OUT017,2248.2401499999996
NCN14,OUT035,2515.29253
FDH08,OUT013,3251.46759
FDS20,OUT046,3039.51016
FDV40,OUT049,1570.42246
FDZ48,OUT010,252.50465
FDS24,OUT027,3974.8925800000006
FDK44,OUT049,2652.94668
FDS48,OUT045,1636.2035
FDK26,OUT010,312.36007
FDD23,OUT045,2461.92866
NCH54,OUT017,2422.08053
NCP14,OUT010,263.42377
FDM60,OUT010,214.15457
FDV24,OUT017,2278.76708
FDH08,OUT018,2629.94329
FDS12,OUT027,2518.58824
FDR39,OUT027,4482.8314
FDP12,OUT027,3844.6621000000005
DRF60,OUT027,3609.3350900000005
FDC09,OUT035,1834.7783499999998
FDF50,OUT018,2549.98071
FDG28,OUT035,3078.7590699999996
NCE19,OUT017,1151.834
NCM53,OUT010,292.88542
NCN18,OUT049,2179.0968199999998
FDF32,OUT035,2978.0568200000007
FDF11,OUT013,3052.4599699999994
DRI59,OUT049,2286.62352
NCG54,OUT035,3188.2165899999995
FDM44,OUT046,1898.7950199999996
FDT57,OUT018,2663.1667100000004
FDV24,OUT046,1782.6129200000003
FDI50,OUT019,440.62644
FDS09,OUT035,1631.2099999999998
NCC31,OUT027,3802.91644
FDQ07,OUT019,310.16293
FDC22,OUT017,2824.22373
FDZ56,OUT046,2149.60188
FDZ40,OUT019,285.59490999999997
FDS46,OUT027,3165.74584
DRD24,OUT045,2270.81077
FDV45,OUT017,2916.70335
FDL26,OUT045,2562.0982700000004
FDA56,OUT018,1880.9515800000001
FDN27,OUT046,1936.6124600000007
FDM20,OUT049,3266.88086
FDO16,OUT017,1347.07985
FDL03,OUT035,2583.77006
FDE58,OUT046,2590.1284499999997
FDI02,OUT027,3474.9766499999996
NCC55,OUT019,256.69919
FDR03,OUT018,1783.0124
FDB14,OUT017,2272.57514
FDR45,OUT013,3526.0435100000004
NCN07,OUT017,2265.11818
FDM51,OUT019,401.87688
FDT52,OUT027,5029.41991
FDL26,OUT046,2433.9983500000003
NCZ42,OUT046,2635.83562
DRI47,OUT019,372.84799999999996
FDW40,OUT013,2134.0221600000004
FDN34,OUT046,2189.11711
FDS01,OUT035,2547.5838300000005
NCG55,OUT045,2035.0509900000004
FDC11,OUT035,2051.26322
FDX35,OUT018,2594.8223399999997
NCB06,OUT046,2765.33372
FDR09,OUT019,388.42772
FDC53,OUT017,1301.77216
FDY45,OUT013,3264.3175299999994
FDA22,OUT010,394.28676
FDE02,OUT035,1949.3958199999997
FDW21,OUT045,1709.4415000000001
FDV34,OUT046,1304.36878
FDS59,OUT049,1985.8816600000002
NCW17,OUT017,1982.4860800000006
NCK54,OUT046,2162.31866
FDG17,OUT019,424.04802
FDG35,OUT017,2189.2502700000005
FDD08,OUT010,256.76577000000003
NCO07,OUT017,2776.18626
FDJ10,OUT010,531.34169
FDW36,OUT017,1468.38861
FDW21,OUT010,313.12574
FDY19,OUT017,2123.6023899999996
DRE03,OUT013,1786.50785
NCC55,OUT049,1652.1827
FDH52,OUT010,224.97382
FDO09,OUT017,3967.3024600000003
FDU43,OUT045,3892.8993100000007
FDX09,OUT010,353.53979999999996
FDH40,OUT019,290.72157000000004
FDW58,OUT017,1892.9359799999997
FDC47,OUT017,3595.6861900000004
NCR41,OUT035,1704.4479999999999
DRG49,OUT035,2479.63894
FDC52,OUT027,4211.81751
FDY13,OUT046,2064.6458000000002
FDY35,OUT013,1533.63701
FDI35,OUT017,2777.4845700000005
NCU18,OUT049,3072.73358
FDY33,OUT018,2203.2986499999997
FDC15,OUT027,4421.910699999999
FDU01,OUT049,2063.81355
NCU42,OUT046,2415.6222699999994
NCV29,OUT018,2260.6906099999997
NCY30,OUT017,2827.5527300000003
FDQ46,OUT049,2537.89644
FDG58,OUT027,3734.4721999999992
FDK33,OUT017,2957.11741
NCD07,OUT045,1615.06435
NCX29,OUT027,3505.73661
NCT42,OUT013,2322.0440800000006
DRN59,OUT035,1709.6745299999998
FDI44,OUT035,2452.60746
FDA45,OUT049,2385.19521
FDP31,OUT045,1442.32254
FDY01,OUT046,1812.84024
FDT09,OUT018,1817.90032
DRH03,OUT027,4332.32731
FDA36,OUT018,1858.3809600000004
NCF31,OUT017,2641.59479
FDG14,OUT049,2270.2781299999997
FDG28,OUT027,5029.41991
FDU14,OUT049,2930.08593
FDY47,OUT019,283.93041
FDI56,OUT049,1594.3912599999999
DRD01,OUT013,933.75121
FDM22,OUT046,1487.46378
FDH33,OUT013,1770.9947100000002
DRZ24,OUT013,2536.1986499999994
NCQ38,OUT046,1909.81401
FDO16,OUT027,2019.80417
FDU07,OUT027,3887.040269999999
NCB07,OUT013,3155.95858
FDU48,OUT045,1518.024
NCM43,OUT045,2647.3539600000004
FDR31,OUT010,352.94058000000007
DRK49,OUT018,1494.28823
NCI30,OUT010,410.96504999999996
DRD60,OUT017,3023.3977999999997
NCG19,OUT046,2909.51271
FDH12,OUT035,1805.21683
FDM32,OUT035,2407.8989900000006
FDM27,OUT035,2538.66211
NCU53,OUT027,3766.2308600000006
NCQ18,OUT046,2046.9355199999995
FDS10,OUT013,3067.5070499999997
FDB33,OUT027,4216.378240000001
FDI12,OUT013,1846.19682
NCW42,OUT013,3202.46471
NCC06,OUT018,1719.72811
FDW02,OUT017,1672.38973
NCD43,OUT017,1552.07967
FDM57,OUT018,1616.19621
FDA58,OUT017,3577.3766899999996
FDK56,OUT046,2871.8284300000005
FDP52,OUT045,3165.3463599999995
FDW20,OUT018,1797.3271
FDS52,OUT049,1735.0082200000002
NCT29,OUT018,1750.0885899999998
NCL54,OUT013,2695.9906499999993
FDC05,OUT045,2725.9516499999995
FDF34,OUT035,2445.68314
FDP03,OUT027,4242.943659999999
FDD32,OUT010,253.63651
FDZ10,OUT045,1822.8272399999998
FDZ40,OUT035,1598.45264
FDD51,OUT018,1290.38698
NCY30,OUT019,391.95646
FDP58,OUT017,3090.3439900000003
FDV49,OUT017,3961.4434200000005
FDY24,OUT019,212.42349000000004
NCO55,OUT017,2039.5451399999997
FDR13,OUT017,1993.0723000000003
FDS51,OUT017,1986.4143
FDP26,OUT045,1813.6724900000002
NCB54,OUT027,3507.1680799999995
FDF32,OUT017,3122.5687099999996
FDN31,OUT018,2772.25804
DRM48,OUT017,1167.58017
FDN20,OUT049,2834.7766600000004
DRL01,OUT046,3095.00459
FDV56,OUT049,1999.63043
DRH13,OUT027,2970.93276
FDA03,OUT017,2588.9965899999997
FDF47,OUT027,4980.8498
FDX32,OUT046,2297.7423799999997
FDX57,OUT049,1602.8802099999998
NCA30,OUT045,2461.2295700000004
FDO49,OUT013,1151.4345199999998
FDL04,OUT019,286.92651
DRM48,OUT035,2059.8187500000004
FDR16,OUT013,2117.04426
NCC19,OUT018,2315.21963
NCE42,OUT045,2895.8970999999997
FDY24,OUT017,1507.23804
FDH19,OUT049,1944.70193
FDJ46,OUT013,2827.0533800000003
FDN45,OUT010,396.18429000000003
FDY08,OUT035,1839.1060499999999
FDZ37,OUT035,2734.67363
NCT30,OUT045,2001.5279600000001
DRY23,OUT018,838.94129
NCZ30,OUT018,2039.57843
FDC44,OUT018,1785.4092800000003
FDB45,OUT035,2537.3305100000002
FDY04,OUT013,2529.8735500000003
FDM27,OUT046,2366.61939
FDZ43,OUT017,3552.5756400000005
FDT39,OUT019,406.73722
NCC06,OUT019,357.83421000000004
FDL15,OUT027,4059.4491799999996
FDL57,OUT017,3984.8462900000004
FDU08,OUT046,1945.1347
FDK40,OUT017,3593.5889200000006
FDQ12,OUT010,373.94656999999995
FDS48,OUT017,1631.5429
FDP09,OUT045,2783.27703
FDW21,OUT049,1666.1645
FDY25,OUT035,2572.55133
DRE13,OUT017,1549.88253
FDV43,OUT019,375.1783
FDD22,OUT045,1821.5289299999997
FDM46,OUT019,379.10652000000005
NCO30,OUT010,357.53459999999995
FDM25,OUT046,2664.4317300000002
NCN41,OUT049,1901.15861
FDU24,OUT045,1842.5016300000007
FDZ50,OUT046,2575.6140100000002
FDP45,OUT013,3109.6521900000002
NCM54,OUT045,2068.6738900000005
FDW10,OUT019,413.36193000000003
FDP20,OUT017,2295.8448500000004
FDK32,OUT046,2416.35465
FDN52,OUT049,1650.61807
FDM58,OUT045,1811.1757400000001
FDZ46,OUT027,3262.3867099999998
NCA18,OUT018,1937.7443200000002
FDD35,OUT046,1883.78123
NCK31,OUT035,1870.2654899999998
FDI40,OUT027,2957.65005
FDT50,OUT019,308.09895
NCT06,OUT046,2493.68732
FDT31,OUT035,2523.34871
FDT45,OUT049,2006.8543600000005
FDT13,OUT045,3755.611349999999
FDO50,OUT045,1419.65205
NCU18,OUT010,312.39336
NCR54,OUT049,3244.7430099999997
NCO18,OUT018,2068.7404699999997
FDU09,OUT045,1102.4982200000002
FDT13,OUT018,2210.7889
FDE09,OUT046,2292.21624
NCK53,OUT019,347.44773
FDG45,OUT049,2703.71393
DRH15,OUT035,2785.07469
FDO21,OUT019,373.5138
FDD14,OUT027,4377.701580000001
FDC09,OUT046,2116.2453
FDH45,OUT027,2921.49711
FDV32,OUT046,1888.6415700000002
FDG12,OUT035,2100.36597
FDS32,OUT013,2144.67496
NCL55,OUT018,2243.8125800000003
DRE01,OUT035,2499.81268
DRE15,OUT049,1622.0885400000002
NCL42,OUT045,2871.4289500000004
FDP31,OUT013,1757.9783199999997
FDN33,OUT018,1692.2305700000002
FDZ59,OUT046,2750.71941
FDE45,OUT010,274.57591999999994
FDJ07,OUT013,2002.52666
FDQ45,OUT018,2229.0984
FDM33,OUT027,6039.67154
FDO15,OUT010,393.28806
FDM46,OUT013,2457.8007000000002
FDR03,OUT045,3253.46499
FDY49,OUT018,1796.8943300000003
FDQ60,OUT045,2269.6123300000004
FDW10,OUT049,2445.08392
FDO51,OUT049,2174.3030599999997
FDJ40,OUT018,1296.0795699999999
FDS20,OUT018,2551.51205
FDU45,OUT013,2257.7943800000003
FDV02,OUT035,3149.5003199999996
FDN09,OUT046,3048.0989799999998
NCM55,OUT027,3088.41317
FDN23,OUT018,2046.8689399999996
FDY31,OUT010,277.33898999999997
FDW03,OUT010,434.26804999999996
FDD14,OUT046,2470.6173500000004
FDV23,OUT017,1887.1768099999997
DRI03,OUT045,2856.2487100000003
FDN13,OUT035,2078.39457
FDF45,OUT027,2801.78627
FDU46,OUT035,1675.5522800000003
FDB57,OUT049,2894.63208
FDV12,OUT049,1834.8116400000004
FDQ58,OUT013,2564.86134
NCA18,OUT017,1679.1143100000002
FDH52,OUT049,1581.4081600000002
FDM24,OUT018,1889.7401400000003
NCP43,OUT027,3260.88866
NCO18,OUT019,355.03785000000005
FDM32,OUT017,2211.3548299999998
NCL07,OUT017,1724.85477
FDK03,OUT013,2790.5675400000005
FDP59,OUT017,2166.5797799999996
FDQ24,OUT049,2295.87814
FDQ16,OUT018,1876.92349
FDU44,OUT013,2383.6638699999994
FDH28,OUT010,212.68981
FDV28,OUT019,231.86485000000002
FDM22,OUT045,914.2765599999999
FDR56,OUT046,2799.95532
FDV39,OUT049,1962.1458900000002
FDU37,OUT019,276.307
FDQ11,OUT010,630.11312
FDX02,OUT045,3647.65188
NCS42,OUT018,1769.96272
FDY57,OUT027,2515.22595
FDB21,OUT049,3127.86182
FDE28,OUT017,3082.22123
FDQ55,OUT017,1823.99239
FDA48,OUT049,2131.75844
FDZ19,OUT045,2959.74732
NCC43,OUT045,3943.9328800000003
NCV18,OUT046,1851.3900599999997
NCA42,OUT018,2180.09552
FDY45,OUT046,2791.1001800000004
NCC30,OUT045,3035.94813
FDM57,OUT013,1534.36939
FDL09,OUT010,333.06645
FDB09,OUT027,3522.61464
FDT44,OUT035,2468.8196900000003
NCT06,OUT027,3996.7974000000004
FDX26,OUT049,2888.2403999999997
FDK32,OUT013,2366.41965
DRA12,OUT046,1988.7445999999995
FDO46,OUT010,359.93148
FDE52,OUT013,1995.0697000000005
NCH42,OUT045,4032.31783
FDV08,OUT035,1853.42075
FDB47,OUT018,2778.74959
FDC28,OUT010,349.44513000000006
FDD22,OUT046,2137.28458
FDS07,OUT027,3526.3098299999997
DRI13,OUT045,3056.8542499999994
FDG32,OUT018,2632.63978
FDU14,OUT017,3793.0626
FDD28,OUT019,282.19933000000003
NCP41,OUT017,1875.9580800000003
FDS08,OUT049,2499.31333
FDX47,OUT045,2419.1177200000006
FDC53,OUT019,296.51403
FDQ19,OUT035,2637.13393
FDL14,OUT045,2747.85647
FDM33,OUT019,450.97963
FDA51,OUT045,1548.88383
FDZ27,OUT018,1450.7116199999998
FDT04,OUT046,1322.6117
DRC13,OUT049,1987.01352
FDR16,OUT027,5029.41991
FDQ03,OUT027,4432.82982
FDE38,OUT035,2424.44412
DRH23,OUT027,2911.3103700000006
FDT11,OUT019,385.73123
FDD09,OUT035,2721.42421
FDR40,OUT045,1327.6052
FDX07,OUT017,3519.71841
FDR07,OUT035,2537.3305100000002
FDA51,OUT017,1936.1131099999998
FDT59,OUT019,449.2485500000001
FDF20,OUT017,3083.6527
FDR13,OUT045,1857.9814800000004
FDY26,OUT049,2544.2548300000008
FDW04,OUT017,1810.3434900000004
FDK52,OUT017,3901.6878700000007
FDN60,OUT049,2183.7574200000004
FDM09,OUT019,331.30208000000005
FDP46,OUT049,2040.5438400000003
FDB50,OUT019,360.26438
NCQ29,OUT049,2589.36278
FDP16,OUT027,3657.605589999999
FDX33,OUT018,2129.9940699999997
FDP07,OUT010,349.2121000000001
FDN22,OUT046,2461.8953699999997
FDF39,OUT049,2604.5097299999998
FDS21,OUT017,1431.86948
NCM42,OUT013,1843.86652
FDK50,OUT019,429.57416
DRF13,OUT027,3609.8011500000002
FDH35,OUT018,2212.48669
FDP60,OUT018,1587.53352
DRJ49,OUT027,3369.41406
NCT42,OUT019,321.0820500000001
FDE38,OUT049,2115.04686
FDI04,OUT049,2880.48383
NCH54,OUT045,3093.14035
FDT56,OUT049,1565.8950200000004
DRD15,OUT018,2439.3247499999998
FDV58,OUT013,3220.94066
FDP21,OUT049,2448.8124000000003
FDH05,OUT013,2518.6881100000005
FDR10,OUT027,4375.10496
NCP06,OUT045,2089.64659
FDF33,OUT049,1641.92938
DRK37,OUT013,2789.00291
DRH49,OUT045,1669.7598200000004
FDT58,OUT013,2918.1681100000005
FDD41,OUT018,1500.14727
FDP40,OUT018,1599.9174
FDM51,OUT027,4225.699439999999
FDO45,OUT010,311.32808
FDW33,OUT010,325.40975
FDY24,OUT045,1453.5412700000002
FDB10,OUT010,390.29196
FDM40,OUT035,2163.55039
NCI06,OUT017,3340.8179500000006
FDW12,OUT019,288.82403999999997
FDX48,OUT027,3963.4075299999995
NCW05,OUT027,2695.8907800000006
FDX27,OUT017,2179.79591
DRM37,OUT045,2979.1886799999997
FDA38,OUT045,3196.57238
FDR36,OUT046,2512.56275
FDZ45,OUT046,3038.0786900000003
FDG05,OUT017,2323.6419999999994
FDK28,OUT013,2814.43647
FDV47,OUT045,1741.2334500000002
FDN21,OUT045,2131.6252800000007
FDP20,OUT027,3511.89526
FDI35,OUT045,2776.01981
DRY23,OUT013,1443.2879500000001
FDA56,OUT017,2030.6234200000004
FDB09,OUT013,1951.72612
NCO26,OUT027,3290.9495299999994
FDQ49,OUT018,1868.86731
FDI52,OUT027,2744.194569999999
FDZ44,OUT027,3390.3534699999996
FDZ09,OUT018,2528.1757600000005
FDY03,OUT049,2280.9309300000004
NCG42,OUT017,2212.71972
DRI13,OUT027,3609.8011500000002
FDQ32,OUT013,1866.33727
FDW16,OUT035,2152.6312700000003
FDU27,OUT046,2053.06088
FDR28,OUT010,309.9299
FDQ49,OUT010,379.73903
FDS37,OUT046,2105.9254
FDW26,OUT018,2152.46482
FDX12,OUT018,2564.3286999999996
NCP06,OUT013,2346.6121000000003
FDW45,OUT010,398.94736
NCN30,OUT049,2459.19888
FDN24,OUT049,1601.6817700000001
NCL41,OUT027,2140.04765
FDR02,OUT019,306.43444999999997
FDD09,OUT010,294.45005
FDS33,OUT010,309.9299
FDU22,OUT045,2239.15198
FDI53,OUT013,2071.3703800000003
DRH01,OUT049,2662.8338099999996
FDX32,OUT013,2128.2962799999996
NCP30,OUT018,1414.25907
FDB60,OUT045,2376.47323
FDB14,OUT049,1979.3901099999996
NCP02,OUT035,2091.17793
FDJ10,OUT017,2209.0245299999997
FDG34,OUT046,1777.3863900000001
NCB18,OUT017,1564.2971000000002
FDM16,OUT049,1655.0456399999998
FDW25,OUT018,1941.9055700000001
FDB35,OUT010,235.99281000000002
DRN11,OUT013,2325.00689
FDF41,OUT019,302.50622999999996
FDH16,OUT045,1061.48494
NCQ50,OUT018,2347.47764
DRH23,OUT018,1863.4077499999996
DRJ37,OUT013,2788.0374999999995
DRJ24,OUT027,3609.3350900000005
FDY16,OUT035,2868.13324
FDQ27,OUT045,2085.0192799999995
FDZ33,OUT045,2219.9769399999996
FDF29,OUT045,2456.23607
FDA08,OUT049,2658.90559
FDG31,OUT046,1560.7350700000002
FDE34,OUT019,454.17547
NCR30,OUT027,1799.3577900000005
FDV33,OUT035,2523.91464
DRZ24,OUT018,1847.96119
NCL54,OUT035,3298.7726800000005
FDR12,OUT049,2412.8592
NCC54,OUT046,3042.90574
DRN59,OUT013,1668.6279600000003
FDX50,OUT019,306.43445
FDV31,OUT027,4311.720800000001
NCA29,OUT027,4104.42397
FDW60,OUT049,2274.13977
FDX08,OUT017,2957.8830800000005
DRD49,OUT013,3089.4118700000004
FDD33,OUT046,3095.07117
FDW35,OUT013,1505.93973
FDJ36,OUT017,1461.13139
FDV51,OUT035,2884.2456
FDW36,OUT046,1769.6298199999997
FDH35,OUT046,2352.00508
NCS30,OUT027,3460.29576
FDN49,OUT017,1820.9962900000003
FDL08,OUT018,3038.5114600000006
FDI09,OUT013,3434.22969
FDP19,OUT018,1702.25086
FDU21,OUT010,299.77644999999995
NCP41,OUT045,2002.82627
FDY10,OUT013,2467.52138
FDP12,OUT018,1564.36368
NCN26,OUT049,2396.7801299999996
FDK44,OUT013,2479.07301
FDC28,OUT049,1617.82742
FDJ41,OUT027,3657.605589999999
NCT29,OUT035,2322.44356
NCH42,OUT019,441.85817
FDU60,OUT018,2374.5091199999997
FDS02,OUT045,3764.9991299999992
FDC51,OUT046,2528.3754999999996
FDU03,OUT013,2601.6467900000002
FDX39,OUT045,3442.1859999999992
NCY05,OUT010,255.36758999999998
NCL06,OUT027,6066.66973
FDD32,OUT035,1900.7591300000004
NCN41,OUT045,1952.2587600000002
NCX53,OUT049,1901.15861
FDU57,OUT019,280.93431
FDQ23,OUT046,2193.6445500000004
FDQ52,OUT045,4059.3160199999998
FDC14,OUT045,1509.0357000000001
FDY09,OUT035,3188.9156800000005
FDQ28,OUT045,2557.5708299999997
FDV25,OUT046,3204.02934
FDJ07,OUT035,2218.0128300000006
DRB25,OUT049,2218.2791499999994
FDK52,OUT019,333.43263999999994
FDY52,OUT027,2019.80417
FDB28,OUT046,2499.1468800000002
FDT36,OUT035,1180.29695
FDV25,OUT017,3333.46086
NCN07,OUT027,2842.93271
FDC57,OUT017,3808.4758699999998
FDQ03,OUT018,1916.6717500000002
FDU23,OUT017,2988.6763299999993
NCX41,OUT035,2726.0515200000004
NCD06,OUT035,1741.2667399999998
FDW08,OUT045,2067.7084800000002
NCU29,OUT017,2236.38891
NCE06,OUT013,2588.8301399999996
FDV52,OUT010,229.90073999999998
FDB02,OUT017,3290.68321
NCR18,OUT045,1166.2485700000002
FDK16,OUT049,1735.0082200000002
NCQ29,OUT010,293.35148
FDZ01,OUT019,293.38477
FDW27,OUT035,2539.5609400000003
FDD17,OUT018,2579.4756500000003
FDW39,OUT013,2627.74615
DRH59,OUT045,1379.27128
FDS52,OUT013,1719.39521
FDU40,OUT027,3657.60559
NCF54,OUT013,2666.29597
FDH46,OUT045,1627.78113
NCP14,OUT049,1890.6389700000004
FDH50,OUT049,2268.08099
DRF15,OUT010,335.5632
FDV27,OUT027,4258.25706
NCJ06,OUT049,2745.7924900000003
FDN02,OUT018,2318.78166
FDQ51,OUT049,2113.08275
FDQ07,OUT017,3667.79233
FDS45,OUT049,1940.64055
NCJ06,OUT045,1770.6951000000001
FDD36,OUT035,1294.41507
FDY25,OUT045,3415.0879400000003
FDU52,OUT046,2304.73328
DRK47,OUT017,3209.3890299999994
NCL30,OUT017,2211.48799
FDN22,OUT035,2482.3687199999995
NCF30,OUT027,3782.0769
FDK03,OUT035,2937.37644
FDT45,OUT017,1398.47961
NCC54,OUT027,3893.132339999999
FDP08,OUT018,2467.88757
FDU44,OUT046,2578.21063
DRG39,OUT035,2785.07469
FDU32,OUT049,2251.5025699999997
FDY27,OUT049,2674.68505
NCP54,OUT013,1999.1976599999998
NCZ41,OUT049,1901.15861
DRL49,OUT013,2897.2286999999997
FDI05,OUT018,1433.30095
FDY56,OUT045,3692.95957
DRC13,OUT013,1654.37984
NCV29,OUT017,2632.44004
FDR24,OUT049,1834.8116400000004
FDZ34,OUT018,2155.32776
FDP37,OUT035,2240.28384
FDX08,OUT027,4877.917119999999
FDS57,OUT045,2734.0411200000003
NCG18,OUT049,2633.37216
FDK25,OUT018,2259.19256
FDH53,OUT049,2011.7146999999998
DRI59,OUT018,2469.98484
FDA52,OUT046,2622.38646
FDT20,OUT010,259.39568
FDE36,OUT019,325.01027000000005
FDI24,OUT017,2217.6799300000002
FDB28,OUT018,2308.2620199999997
FDV11,OUT017,2427.8064099999997
FDP01,OUT046,2292.7155900000002
FDD34,OUT027,4361.123159999999
FDJ50,OUT027,3446.5802800000006
FDZ44,OUT013,1819.9310099999998
DRO59,OUT035,1930.3206500000003
DRB48,OUT045,1132.5590900000002
FDR21,OUT018,2361.39286
NCE42,OUT010,411.86388
FDO23,OUT046,2325.7059799999997
NCE30,OUT018,2385.8943000000004
FDQ22,OUT035,1409.3321499999997
FDY01,OUT045,2206.7941
FDS08,OUT017,2604.9425
FDG28,OUT018,1784.9765099999997
FDQ51,OUT018,1534.76887
FDB05,OUT017,3688.49871
FDO56,OUT049,2349.20872
FDE02,OUT018,1850.7575499999998
FDN45,OUT017,3058.71849
FDS09,OUT013,1352.07335
NCA54,OUT018,2265.25134
FDP09,OUT010,412.06362
FDC53,OUT045,1383.2327899999998
